index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint,path_group
89,0.794,15.000,14.203,10,core_i/core_i/id_stage_i/csr_access_ex_o_reg/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[13]/D,
90,0.794,15.000,14.137,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[26]/D,
91,0.795,15.000,14.132,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[23].mem_reg[23][29]/D,
92,0.796,15.000,14.138,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[28]/D,
93,0.797,15.000,14.203,10,core_i/core_i/id_stage_i/csr_access_ex_o_reg/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[13]/D,
94,0.805,15.000,14.118,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[31].mem_reg[31][27]/D,
95,0.805,15.000,14.075,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[2].mem_reg[2][30]/D,
96,0.805,15.000,14.110,10,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[23].mem_reg[23][19]/D,
97,0.808,15.000,14.109,10,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[24].mem_reg[24][19]/D,
98,0.811,15.000,14.113,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[25].mem_reg[25][27]/D,
99,0.815,15.000,14.066,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[27]/D,
100,0.815,15.000,14.067,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[29]/D,
101,0.816,15.000,14.067,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[24].mem_reg[24][26]/D,
102,0.816,15.000,14.067,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[16].mem_reg[16][26]/D,
103,0.816,15.000,14.064,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[29]/D,
104,0.819,15.000,14.060,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[1].mem_reg[1][30]/D,
105,0.821,15.000,14.109,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[2].mem_reg[2][25]/D,
