index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint,path_group
141,0.730,14.000,13.210,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[22].mem_reg[22][24]/D,
142,0.731,14.000,13.095,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[21].mem_reg[21][29]/D,
143,0.733,14.000,13.180,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[31].mem_reg[31][19]/D,
144,0.734,14.000,13.046,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[21].mem_reg[21][26]/D,
145,0.734,14.000,13.091,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[16].mem_reg[16][29]/D,
146,0.735,14.000,13.131,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[15].mem_reg[15][23]/D,
147,0.741,14.000,13.256,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[24].mem_reg[24][5]/D,
148,0.743,14.000,13.192,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[20].mem_reg[20][24]/D,
149,0.743,14.000,13.238,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[21].mem_reg[21][8]/D,
150,0.744,14.000,13.198,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[2].mem_reg[2][24]/D,
